code	name	price	price_pdv
PSSCV163T	"TRESOR DES MERS BEAUTIFYING OIL FACE, BODY, HAIR TESTER - 100ML"	0.00	0.00
PSSVV321T	RESUBSTANCE SKIN RESILIENCE RICH CREAM TESTER - 50ML	0.00	0.00
BPFBOP035	BORA-BORA BODY SCUB - 250ML	0.00	0.00
BPFBOP036	MELT-AWAY MASSAGE GEL - 250ML	0.00	0.00
BPFBOP083	ULTRA-MOISTURIZING MASSAGE OIL 500ML	0.00	0.00
BPFBOP135	BORA-BORA MOISTURIZING LOTION - 1L	0.00	0.00
BPFBOP340	COCONUT POWDER NO-RINSE SCRUB - 450ML	0.00	0.00
BPFBOP341	VIRGIN COCONUT OIL MASSAGE CONCENTRATE 500ML	0.00	0.00
BPFBOV035	BODY SCRUB WITH BORA-BORA SAND - 150ML	0.00	0.00
BPFBOV100	ZANZIBAR SHOWER GEL - 150ML	0.00	0.00
BPFBOV101	ZANZIBAR MILKY BODY CREAM - 150ML	0.00	0.00
BPFBOV135	BORA-BORA MOISTURIZING BODY LOTION-250ML	0.00	0.00
BPFFAP022	CLEANSING MOISTURIZING MILK 1L	0.00	0.00
BPFFAP029	INVIGORATING CLEANSING LOTION 1L	0.00	0.00
BPFFAP125	TWO SANDS CREAMY SCRUB - 150 ML	0.00	0.00
BPFFAP132	GLOBAL SOLUTION EYE CONTOUR CREAM 50ML	0.00	0.00
BPFFAP183	MOISTURIZING CONCENTRATE- 50 ML	0.00	0.00
BPFFAP185	MOISTURE DEFENSE CREAM 100 ML	0.00	0.00
BPFFAP310	SMOOTHING INCAN SCULPTING GEL HYDRA-NOURISHING TREATMENT-150ML	0.00	0.00
BPFFAP311	MOISTURIZING MASK EFFERVESCENT POWDER WITH SEAWEED FROM THE WORLD SEAS- 85G	0.00	0.00
BPFFAV190	INTENSE MOISTURIZING SERUM - 30ML	0.00	0.00
BPFFAV600	HYDRA-GLOW FUSION CREAM - 50 ML	0.00	0.00
BPFFAV998	FRESH CLEANSING FOAM - 150ML	0.00	0.00
BPFPAP101	ZANZIBAR FRAGRANCE - 15ML	0.00	0.00
BPPDEP333GB	2016 PHYTOCEANE CONSUMER BROCHURE - GB	0.00	0.00
BPPGIF937	2016 PHYTOCEANE CLEANSING BRUSH	0.00	0.00
